class_id,class_name,x_center,y_center,width,height,area,aspect_ratio,file
10,military_aircraft,0.16,0.028462,0.32,0.049261,0.01576352,6.496011043218774,019065
10,military_aircraft,0.366,0.205528,0.6,0.073892,0.0443352,8.119958858875115,019065
10,military_aircraft,0.719,0.905583,0.502,0.074986,0.037642972,6.694582988824581,019065
10,military_aircraft,0.287,0.863437,0.49,0.091407,0.04478943,5.360639775947138,019065
10,military_aircraft,0.683,0.78243,0.498,0.072797,0.036252906,6.8409412475788836,019065
10,military_aircraft,0.293,0.69075,0.494,0.08867,0.04380298,5.571219127100485,019065
2,military_tank,0.47109375,0.48125,0.1890625,0.303125,0.057309570312499995,0.6237113402061856,016356
2,military_tank,0.8901098901098901,0.3958333333333333,0.0989010989010989,0.06018518518518518,0.005952380952380952,1.643279797125951,010727
2,military_tank,0.580919080919081,0.46141975308641975,0.11488511488511488,0.07561728395061729,0.00868730035396702,1.519297029501111,010727
2,military_tank,0.4275724275724276,0.5185185185185185,0.12087912087912088,0.06790123456790123,0.008207841541174874,1.7802197802197803,010727
2,military_tank,0.13536463536463536,0.6296296296296297,0.12987012987012986,0.06944444444444445,0.009018759018759018,1.8701298701298699,010727
0,camouflage_soldier,0.66015625,0.64140625,0.2609375,0.40078125,0.10457885742187499,0.6510721247563352,000534
1,weapon,0.498535,0.507812,0.94043,0.960938,0.9036949233399999,0.9786583525680117,025944
0,camouflage_soldier,0.44765625,0.55703125,0.12421875,0.69296875,0.08607971191406251,0.17925591882750846,002323
0,camouflage_soldier,0.3671875,0.47421875,0.09609375,0.39375,0.037836914062500004,0.24404761904761907,002323
6,soldier,0.2171875,0.49921875,0.109375,0.3921875,0.042895507812500004,0.2788844621513944,015139
6,soldier,0.10390625,0.55546875,0.1109375,0.5421875,0.06014892578125,0.20461095100864551,015139
2,military_tank,0.510225,0.4424222222222222,0.3386375,0.43233333333333335,0.14640427916666665,0.7832787201233615,012656
3,military_truck,0.4111859979101358,0.5855340793489319,0.18831243469174505,0.40615462868769076,0.07648396698950073,0.46364714665494144,003983
2,military_tank,0.6399888888888889,0.6097697368421052,0.6292666666666668,0.3370559210526316,0.2120980559210527,1.866950340766766,004034
2,military_tank,0.48828125,0.440625,0.8234375,0.76875,0.633017578125,1.0711382113821137,016430
0,camouflage_soldier,0.60546875,0.51015625,0.75,0.70546875,0.5291015625,1.06312292358804,001158
0,camouflage_soldier,0.53046875,0.64453125,0.1875,0.3828125,0.07177734375,0.4897959183673469,002451
4,military_vehicle,0.25170000000000003,0.7535333333333333,0.19886250000000005,0.1737333333333332,0.03454904499999999,1.1446421719109758,012642
4,military_vehicle,0.3517,0.5979777777777777,0.19204999999999997,0.12928888888888884,0.0248299311111111,1.4854331385355795,012642
4,military_vehicle,0.3193125,0.34848888888888885,0.20454999999999998,0.17979999999999996,0.036778089999999986,1.1376529477196886,012642
